Inventor Name,Patent IDs,CPC Classes
Fumiyoshi Kai,8852765,C12N; C12P; H01M; Y02E
Susan W. Brosnan,10169724; 10410265; 10956745; 11488191; 11676130; 11798063; 11810168; 11842376; 12169820; 12198181; 12299715; 12354114; 12443944; 12468990; 7434663; 7454365; 7546250; 9424601; 9606929,G06F; G06K; G06Q; G06T; G06V; H04L
Myron J. Maurer,7338038; 7513344; 7520559; 7931963; 7977396; 8092727; 8313818; 8720141; 9586339,B28B; E04B
Valluddin Y. Ali,8019994; 8127135,
Lynette Zaidel,10092482; 10098829; 10507340; 10653149; 10758472; 10898739; 10918588; 10959936; 11490623; 11596593; 11612553; 12233150; 12332160; 8540971; 8591868; 8741269; 9140708; 9308399; 9517194; 9625449; 9682026; 9682027; 9717929; 9808412; 9895304; 9918926; 9937365,A01N; A61K; A61Q; C07K; C08F; C08L; C09D; C11D; G01N; G06V
Sarah Silverman,8106043; 8173813; 8618286,
Connor Mark Halberg,10518143; 10960277; 11351429; 11400351; 11413510; 11458374; 11559727; 11883724; 11918874; 11951365; 12053679; 12097413; 12109463; 12434115; D1065396; D989206,A63B
Michael A. Sinwell,12201939,B01D; B01J; F25B
Taylor Pitelka,9163861; 9379660; 9882524,A47J; E04B; E04C; F16M; F24J; H02S; Y02E
Joseph Ferreira,10849539; 11806139; 5123184; 5524367; 6092307,A61B
Arthur Mellor,7127506; 7150037; 7305466; 7472412,
Shoji Anezaki,4389246; 4456477; 4522650; 4738688,
Darrell D. Varner,7374195,
Sowmya Benavides,12242637,G06F
In Hwan Hwang,10344293; 11279943; 11845945; 11905431; 12385056; 12479959; 5341417; 5907501; 6917811; 7099700; 8958012,A23K; A61K; C07K; C08G; C08K; C09D; C12N; C12P; G01N; H01B; H04N
Christian Wamprecht,10238531; 10435501; 10633481; 11346021; 12240937; 12479966; 4837273; 4904740; 4937293; 4945137; 4970270; 4975493; 4990583; 5045602; 5064921; 5064922; 5089565; 5130378; 5135987; 5208291; 5214104; 5219939; 5268428; 5280072; 5281629; 5319056; 5384358; 5422421; 5464921; 5492955; 5508337; 5510444; 5516853; 5521250; 5552507; 5728789; 5733973; 5852101; 5854338; 5889065; 5902897; 5910556; 5917083; 5925711; 5969002; 5969054; 5973107; 5981653; 6001931; 6162891; 6197874; 6204323; 6251985; 6380308; 6423816; 6426414; 6458898; 6642302; 6680358; 6863863; 6916876; 7148307; 7183352; 7196134; 7253252; 7268183; 7462680; 7517559; 7659341; 7728076; 7863372; 7985479; 8063144; 8088880; 8367794; 8476362; 8530600; 8791200; 9000089; 9096717; 9458282; 9593199; 9718917; 9949869,A61F; A61K; A61L; B29B; B29K; C08G; C08J; C08K; C08L; C09D; D01D; D01F; D10B; Y10T
Aidong Yang,11843516; 12164931; 12506657,G06F; H04L
Bruce R. Watson,4549679; 4580336; 9142152,G09G
Hans WÃ¤nnman,12485095; 7511143; 7589208; 8314124; 8754104,A61K
Nader POURATIAN,9220458,A61B; A61N
Wilhelmus J. P. S. M. van Riggelen,5739215,
Eddie James DeJong,11304391; D915629; D943775,A01G
Jin-han Chung,7943088; 8367422; D627475,
Clark P. Weldon,4228399; 4365191; 4467274; 4816747,
Chia-Hau Lin,7474415,
Franz Held,3998399; 4374575; 4646603; 4759249; 5127296,
Dominik WASSMER,10145558,F23N; G01K; Y02T
Barry J. Dineen,5979299,
Mohit Agarwal,10990239; 11391576; 11907775; 11989287; 7639749; 8050350; 9456046,G01C; G06F; G06N; G09G; H04L
Larry J. Joslyn,3967494; 3982893; 4115068; 4221955; 4294285; 4410493; 4759909; 4770851; 4812292; 4822563; 5891390; 6656423,
Long Shyong Wang,4011385; 4057682; 4077905; 4113653; 5217573; 5504129; 6274657,
Lars NÃ¸rgaard BjÃ¸rn,7068025; 7466118; 7646192; 7683795; 8692539; 8949054; 9920900,F21L; F21V; F21W; F21Y; G01R
Abdullah Abdulaziz I. Alnajem,10210518,G06Q
Terrell Morrow,10181686; 10879723; 11329506,H01R; H02J
Xavier A. Vasques,9357167; 9973731,H04L; H04N
Robert W. Gotham,4108304,
Chul-Yong Park,11185596; 11197935; 11202839; 8080568; 8513222; RE47122; RE47141,A61K; C07D; C07K; C12N
Kotaro Fujikura,10730139; 11103954,B23K
Sheng-Ji Cheng,10245910,B25B; B60C
Marc Hittinger,11701610; 11958009; D1042773,B01D
Hirokazu Aono,7897540; 7967899; 8137443,
Fedor F. Sapozhnikov,4326410,
Davide Frascari,11048301; 11922266,G06F; G06K; H04M; H04W
Jimeng Wang,10428073; 10941150,C07B; C07C; C07D
Martin D. Maloney,7745679; 8475747; 8742195,C01B; C04B; G21F
Kwangku Do,12437626,G08B; H04W
Miral Kotb,8892220,A41D; H05B
Virendra Mane,7849112; 8549252,
Heinz Nyffeler,4530521,
Jack Wayne Cunningham,4756494,
Robert L. Gussman,4567652; 4584764; 4684182; 4902969; 4947545; 5093982,
Massimiliano Tinto,11195683; 11417490; 11469070; 11636994; 11842876; 11869739; 8716616,H01H; H01M; H01R; H02G
Eduardo Friedmann,7556595,
Roger M. Maurais,10433429; 9491859,H01L; H05K; Y02P; Y10T
Hisanori Sadahiro,4577995; 4619552; 4632599,
Rama Rao Manam,11060124; 11357246; 11758933; 12286661; 12338476; 12391724; 12428662; 7250438; 7842814; 7910616; 8067616; 8227503; 8389564,A23L; A23P; A23V; C07J; C12N; C12P; C12Y
Claudia Carrillo Gomez,11915423; 12361552,A61B; G06T; G16H
Hisashi Toyoshima,6131162; 6499105; 7010569; 7134021; 7200682; 7210043; 7406528; 7694126,
Hans Nettel,4701089; 4823411,
Robert Lawery,5141352,
Michael C. Crawford,4594789; 5018853,
Luca Deorsola,11234820,A61F
Guo-Wei Peng,8907992,G09G
Suman Sen,10072036; 10336713; 11119089; 12209064,B01J; C07C; C07D; C07F; C08G; C12Q; G01N
Chin-Feng Chung,10784237; 11069757; 12023903,B32B; G02F; G06V; H01L
Denise Y. Harris,4983706,
Youn-Seok Kam,10096791; 10157966; 10347858; 10431765; 11005061; 8884274; 9184405; 9425422; 9431626; 9685622; 9825245; 9966551; RE50440,H01L; H10K
Yuhao Cheng,11098049,C07D
Karl-Heinz Mangartz,4435563; 5348657,
Robert G. Naum,4156147; 4218622; 4225467; 4287145; 4293598; 4313973; 5791907; 6212004,
Jaroslav Saidl,4097401; 4119561,
Seitaro Kanazawa,10000858; 12486425; 7968163; 8465815; 8647729; 8822037; 8968850,B32B; B65D; C09D; C25D; Y10T
Shanmugavelayutham Muthukrishnan,10296943; 11037193; 6738762; 6928290; 6931400; 7010522; 7116997; 7177282; 7249136; 7272599; 7296014; 7415464; 7417954; 7444326; 7450032; 7536396; 7555691; 7584396; 7590657; 7627602; 7657503; 7769782; 7783647; 7864077; 7895194; 7965643; 8086953; 8103708; 8108394; 8112702; 8121991; 8175845; 8181197; 8239331; 8301491; 8335718; 8566315; 8566353; 8589234; 8600704; 8620752; 8645190; 8666796; 8775251; 8799139; 8826320; 8839088; 8990108; 9684432; 9684644; 9690768,A63F; G06F; G06Q; G11B; H04N
Roy W. Fletcher,4094259; 4165700; 4327652; 4445448; 5720911,
Sten Thomas Kullander,9957803,F01D; F03B; F03D; F05B; Y02E
Young Rang Uhm,11366639; 8038979; 8318045; 9685249,G06F; G21H
Damon E. VanGerpen,7268057,
Richard Lilley,8976027; 9379768; 9461698,G06Q; H04B; H04J; H04L
Marco Schleicher,D989839,
Andrew Candy,D535884; D538168; D547664; D552478; D558054; D568163; D576041; D592967; D658066,
Richard G. Panse,4463954,
Vito Schiavi,4989514; 5069125,
Euan Mcculloch,9238192,B01D; B01F; F23J; Y02C
Dongwan Yoo,7544362; 7879337; 8128937,
Elzi Pettovello,4510373; 4534499; 4608482,
Kazuyuki Tsumagari,11766774,B25J; B62D
Fabio Bellemo,11990015; 12260724,G08B; H05K
Thieu L. Le,10492876; 9053107,A61B; G06F
Zdenko Figura,4166394,
Jong Ho Kong,12325644,C02F
Theodore D. Kennedy,10201840; 10622447; 10744545; 11466404; 11486091; 11814792; 12000088; 12146263; 12146265; 12163286; 12221748; 12278606; 12301195; 12410560; 6489639; 7776152; 8968519; 9297119,B08B; B33Y; B65G; C23C; C30B; D21C; D21F; D21H; H01L; H03H
Scott Preston Sheriff,10317271,G01G
Thomas Gieselmann,11567808; 11757270; 5879662; 7620571; 8578278; 8707398; 9164776; 9170780,G06F; H02G; H05K
Wolfgang Ruger,4845099; 4918073; 4933346; 4999370; 5043346; 5055483; 5068242; 5091427; 5098910; 5114962; 5116835; 5174898; 5185324; 5231084; 5720986; 5721244; 6106266,
Ivo Rajcic,4155388,
Alexis De Weer,11198465; 11352047,B62D; F16B; F16C; F16F
Surjendu Bhattacharyya,11104640,C07C; C09K; H01F
James E. Durham,5213286,
Mikio Kamitake,4312649; 5297971; 5310368; 5358415; 5447429; 6862946,
Vitaly V. Alexandrov,4320321,
Lily Lu,10150992; 10189956; 10941439; 6191278; 6372907; 6861512; 7504496; 7795042; 8030096; 8464503; 9868826,C08F; C08J; C12Q
Banalore A. Nagaraj,5975852,
Roger B. Wallace,5730550,
Clement Lapierre,5794998,
Ziwei Chen,10612512; 10778050; 11035538; 11580179; 12411189; 9369027; D1010327; D984154,F03B; F05B; F21S; F21V; G01R; G06F; G06N; H02J; H02K; H04L; Y02E; Y02T
Eric Roland Coppoolse,10329072; 10344273; 10968460; 11414671; 11420806; 9351473,A01C; A01H; A23B; A23L; B65D; C12N; C12Q; C12Y
Soonpin Yei,6043077; 6458567; 6605429,
Ana MarÃ­a GarcÃ­a Osta,9573956; 9969744,A61K; C07D
Jean-Charles Jolicoeur,3979781,
Jorgen Jorgensen-Dahl,4453330,
Taesun Yoo,10003038; 10020458; 10043856; 9590201; 9842885; 9978970,H01L
Tyler Nicole King,10691827; 11206270; 11640249,G06F; G06N; G16H; H04L
Kristy D'Ann Dexter,D736560,
Rocklyn D. Anderson,11293742,B23Q; G01B
Helen Maslocka,6962600; 7052509; 7621945; 8454671,
Haibo Cao,10135408; 10766799; 11608283; 11722163; 11824569; 11909428; 12003263; 12199651; 12362776; 12381522; 8610503; 9503025; 9908799,A01K; C02F; H03F; H03H; H04B; H04M; H04W; Y02D; Y02W
Claus Bissinger,8196744,
Alex Z. Clendenon,10188923,A63B
Xuning Vincent Shan,9065746; 9459995,G06F; H04L; Y04S
Alex J. Nett,10486148; 12281190; 12319758; 12319775,B01J; C07B; C07C; C07D; C07F; C07J; C08F
"Joseph James Longever, Jr.",10796035,G06F
Meei-Ling Jan,10524758; 6921902; 7778452; 7945020; 8058622; 8464378; 8604438; 8666710; 8704190; 8958865; 8966954; 8971657; 9024270; 9161729; 9200948; 9259193; 9285486; 9575016; 9795347,A61B; B60K; G01B; G01J; G01N; G01R; G01T; G06F; G06T; G09B; H04N
Francois Le Gourvellec,5127634; 5707044; 8979103,B60B; B60Y; B62D
Minas Ensanian,4006063; 4133722; 4197176,
Kenji Aoki,10013469; 10045465; 10078280; 10409180; 10581760; 10608198; 10732530; 10877388; 10877389; 10981256; 11118677; 11125321; 11287758; 11291365; 11393658; 11448980; 11602820; 12105459; 12386278; 12449742; 12509315; 4294212; 4329641; 4386836; 4393390; 4589732; 4671616; 4754293; 4810062; 4834831; 4838993; 4859034; 4927242; 4929057; 5124272; 5199994; 5242666; 5246536; 5338697; 5345103; 5366922; 5514620; 5527733; 5532185; 5753530; 5851909; 5874352; 5923985; 5925574; 6229188; 6329274; 6400494; 6455629; 6539130; 6556727; 6571026; 6631231; 6674565; 6784236; 6819851; 6904186; 6927937; 6950580; 6958852; 6961493; 6979781; 7002731; 7016144; 7035485; 7068863; 7175823; 7214362; 7218819; 7268256; 7319800; 7382942; 7389030; 7446696; 7502530; 7529447; 7532777; 7550724; 7608828; 7660506; 7689066; 7778497; 7787714; 7787773; 7809218; 7828628; 7869669; 7884295; 7974501; 7995872; 8002998; 8139975; 8161807; 8210033; 8233752; 8264790; 8305679; 8339593; 8349165; 8355197; 8383075; 8384989; 8411349; 8603712; 8642237; 8652725; 8741519; 8784159; 8785101; 8846284; 8877417; 8878720; 8980521; 8983880; 9057971; 9104641; 9176410; 9309349; 9401182; 9424527; 9429860; 9435306; 9625844; 9658554; 9798256; 9798262; 9811016; 9823595; 9834858; 9857713; 9869943; 9881769; 9964876; D464046; D464343; D573072; D590650; RE34948,A61B; B24B; B24D; B60W; B65H; C08F; C08G; C08J; C08L; C09K; C30B; F02M; F16H; G01S; G01T; G02B; G03G; G06F; G06K; G06N; G06Q; G11B; G21K; H01J; H01L; H04L; H05B; H05K
Fabienne Sotto,7837961,
Hilel Benudiz,6015136,
Tomohiko Inui,10562885; 9227911; 9765032,C07B; C07C; C07D
John W. Wiers,4274657; 4372612; 4552405; 4592591; 4770465; 5058919; 5487556; 5533745; 5787563; 6099033; D284351,
Ryuichi Nakagami,10021789; 10493175; 10756246; 10806809; 11189764; 11233184; 11322658; 11367821; 11677054; 11735697; 7282255,A61L; B32B; C09K; C23C; F21K; H01L; H05K; Y10T
Brent Hendricks,10583543,B25B
Hideo Nikoh,5989929; 6007673; 6187688; 6214740; 6750149; 6960531,
Robert Khachatrian,6003465; 6428783,
Max Matthew Davison,7810657,
Lise H. Pasquet,12268700,A61K; A61P; C07H
Nils Gunnar Carlsson,9890032,B67D
Chia-Min Chao,10837754,F16C; G01B
James P. Davidowitz,7904371,
Norio Emi,11101199; 11302597,H01L; H02K; H02M
Naveen Selvan,11803641; 12111928,G06F; G06N
Tadashi Kousaka,6460347,
Brion F. Morrill,5466163,
Mallik Mahalingam,10439843; 10534735; 10686756; 10970242; 10985945; 11681639; 11765000; 6601070; 6625604; 6772161; 6775672; 6775673; 6836827; 6883029; 6985928; 7039634; 7043470; 7171494; 7240114; 7266125; 7379428; 7421433; 7424710; 7433316; 7555553; 7657659; 7743389; 7831739; 7853744; 7945436; 8028071; 8056076; 8166475; 8296759; 8453143; 8478924; 8527673; 8677187; 8775696; 8789049; 9122594; 9130879; 9210079; 9239731; 9336165; 9385989; 9602305; 9900181; 9952988,G06F; H04L
Bruce Tweed,5045346,
Vincent Waterson,10366205; 11328802; 11744759; 9208287,A61B; A61G; G01B; G01G; G06F; G06Q; G16H
Gert Schiele,4228478,
Roberto Nocera,10779677; 8752478; 8758844,A47J
Seyed Mohammad Seyed Abbassi,10263291; 10431788; 10483507; 9728760,H01M; Y02E; Y02P; Y02T
Jorge A. Young,4538056; 4544832; 4816658; 6408690; 6453737; 6507276,
"John Harold Nardine, III",7387083; 7540261,
Daniel Vogelheim,9003365; 9811324,G06F; H04L
Jonguk HER,11191404; 11344168; 11419469; 11523721; 11540682; 12082765; 12232685,A47L; B01D; B04C
Rajesh Tiruvuru,11335390; 11669135; 8253614; 8618785; 8773110; 9256330; 9287707; 9582123,G05F; G06F; G11C; H01L; H02J; H02M; Y10T
Ryan Ingebritsen,10327091; 11388543,H04R; H04S
Xiangming Guan,9556113,A61K; A61N; C07C
Kathy Wattman,11336688; 11936687,G06F; G06Q; H04L
Roman Sappey,9163987,G01J; G01N
S. Beckett Gookin,12472289,A61F; A61L
Yoshiko Kunieda,4154208; 4155685,
Josue Negron,10686892; 11265211; 11818000,G06F; H04L
Todd W. Allen,7720098; 7805156; 8170056; 8406778; 9516679; 9913314,H04W
Kristine Snyder,12059267,A61B
Zhijing Wan,7927562; 8053203; 8349573; 8556826,
Teruyuki Oda,6298818; 7014677; 7273029; 7566504; 7629057,
Robert Griffiths Brandon,5766389; 5818719; 5916203; 5930139; 5932039; 5964970; 5980087; 6033502; 6092002; 6245168; 6652686; 6986820,
George Khait,4173829; 4300885; 4402588; 5034760; 5195631; 6572587; 6594837; 8261905,
Steven E. Spangle,8361150; 8470042; 8845736; 9439779,A61F; A61L; B32B
Douglas V. Larson,5838962; 7237084; 7577945; 7594233; 7681199; 7765550; 7861042; 8032884; 8799591,
Joerg Hagemann,9447263,B60C; C08K; C08L
Nicolas Pohl,D345720,
Wangwei Lee,12170155; 12339143; 12491638,B25J; C08K; C09D; G01D; G01L; H01B
Dono Harjanto,10068224; 10200345; 10206060; 10360555; 10402557; 10432609; 10880677; 8438394; 8446834; 8464059; 8693473; 8695068; 8755386; 8812701; 8898450; 9286466; 9444802; 9564952; 9740849; 9756133,G06F; G06Q; H04B; H04L; H04W
Ludger Waldmann,10487018; 10723632; 11795060; 11814297; 11814298; 6379414; 9994491,A01G; B01J; C01D; C01F; C01P; C05C; C05D; C05G; C07C; Y02P
George Witman,6719073; 6814162; 7100711; 7401668; 7665547; 7690446,
Roberta L. Saper,D257712,
Louis F. Alfieri,9266028,A63G
Steven Linthicum,5379970; 5542036; 6411919; 6826500; 8348839; 9003319,G06F
Kin-man Kong,D586490,
Edwin Arthur Blackmond,7847436,
Yoshihiro Meguro,8465646,
JENS JÃ„HNICKE,6999833,
Chueh-Min Cheng,9449224,G06K
Charles B. Simmons,5513749,
Johnny M. Bishop,10683886,F16B
Charles J. Pentek,6542023,
Gerhard Wimbauer,5556656; 5762984; 6113383; 7326050; 9205584,B29C; B29K
Allan Taylor,4416774; 4754907; 6916495,
Vivek Harihar,12484895,A61B
Sunitha Gupta,10681140,G06Q; H04L
GaÃ«l VILA,11737695,A61B
Anupama Kolamala,6963854,
Robertus Theodorus Fransiscus Van Schaijk,6984557; 6991982; 7045852; 7419875; 7429513; 7443725; 7579239; 7709879; 7763512; 7923363; 8097483; 8168524; 8282845; 8853797; 9231201,B81B; B82Y; G11C; H01L
Homer W. Davis,5526685,
Robert John Tweedie,11961606; 9224229; 9684674,G06F; G06T; G06V; G16H; H04L
Giorgio Tommasini,4780704,
Yoshihiro Nishibori,5058196,
Holger Heinisch,6727555; 8450860; 9275915; 9496800,G01R; H01L; H02M; H02P
Yongjun YU,10711392,D06L
John Tinsman,10032192; 10038859; 10044873; 10152815; 10235788; 10387920; 10609028; 10681097; 11182824; 11200716; 11303684; 11374933; 11451543; 11870829; 12184711; 12430826; 7930449; 8335873; 8782305; 9344470; 9711128; 9712581; 9799048; 9877054; D759684,A63F; G02C; G06F; G06Q; G06T; G10K; H04L; H04M; H04N
James Schwender,7803174; 7901458; 7935148; 8075604; 8353958; 9247976; 9844444,A61B; A61F
Joerg RAUSCHENBERGER,4565404,
Richard Leparmentier,6400798; 7522701; 8979859,A61B; A61F
Frank Jacques E. Roelants,10232309; 6901996; 9267726; 9914091; 9914092; 9950294,B01D; F04D; F24F; F25B; F25D
William Crowe,6714217; 7693974,
Xinshui Wang,12311329,B01J
John P. Geer,10898398; 12115113; 9320662; 9937090,A61G; G06F; G16H
Elena D. Naum,4250823; 5112265,
Vaseem Firdaus,5210167; 5258449; 5550094; 5840244; 5916926; 5922800; 6458910,
Ji Na Kwon,8912560; 9705046; 9887325,B82Y; H01L
Daniel William Catena,6541537,
Tania Betancourt,10449150,A61K; B01J; C09B; G01N
Victoria Lee Bulleck,6270843,
Tae-Seong Kim,10090059; 10177103; 10573431; 10950578; 10980125; 11039537; 11043445; 11069597; 11076485; 11102886; 11113511; 11133277; 11172574; 11229119; 11315879; 11439022; 11443791; 11515357; 11600552; 11748980; 11804472; 11831089; 11889703; 12014763; 12456811; 6413922; 6414170; 6599869; 6878714; 6995162; 7050334; 7101868; 7102009; 7105682; 7355565; 7358967; 7365710; 7372431; 7417603; 7435823; 7453421; 7489365; 7492332; 7514564; 7514921; 7528802; 7532179; 7542020; 7548221; 7561486; 7567225; 7580050; 7609233; 7612740; 7626030; 7652009; 7652641; 7679583; 7687522; 7718523; 7733304; 7737921; 7749827; 7759344; 7820665; 7825874; 7858623; 7859107; 7881117; 7915287; 7928140; 8017601; 8088794; 8111280; 8125507; 8150134; 8178557; 8314087; 8487839; 8642624; 8685983; 8749555; 8755593; 8894983; 8957102; 8988479; 9066954; 9102732; 9137886; 9214411; 9489568; 9490216; 9524921; 9805818,A45D; A61K; A61Q; C07D; C07K; G06F; G06K; G06N; G06T; G06V; G11C; H01B; H01F; H01L; H01Q; H04N; H05K; H10B; H10N
Robert Hathaway,10747457; 12160369; 4410119; 4529458; 4650130; 4783900; 5682328; 5978898; 6105128; 6839808; 6862669; 6898673; 6901482; 6901488; 6920529; 6920542; 6938093; 7006054; 7225300; 7305492; 7366847; 7398449; 7765328; 8051227; 8099651; 8370528; 8402248; 8656139; 8700874; 8914581; 9083628; 9311148; 9317289; 9419911,G06F; G06T; H01R; H03K; H03M; H04L; H05K; Y02B
Hyuk Joo Nam,11631075,G06Q
Lawrence J. Evans,4564915; 4631750,
Nathan R. Tzodikov,4358434; 4390517; 4411881; 4432877; 6346547,
Wen-Dong Chang,5235115; 5399537; 5591238; 5653774; 5767040; 5939353; 6953488,
Alex Raitz,10691523; 11010236; 11392604; 11907244; 9043332; 9047181; 9275338; 9442789; 9922102,G06F; G06N
Ichiro Shirasaka,6381858; 6453239; 6633816; 7481109; 7509857,
Guillaume Ferrand,9234954; 9520636; 9562957; 9768498; 9880241,A61B; G01R; H01P; H01Q; Y10T
Ryan Bloomer,11172802; D1050018,A47L
"Carmine Rende, Jr.",10533571; 10989216,F04D
Jon S. Williams,9935893,H04L
Hitoshi Kanzaki,6417459; D421403,
Per Johander,9545669,A61C; B22F; B28B; B29C; B33Y; C22C; H05K
Honghua Huang,12505760,G01N; G09B
Kartik SONDHI,11973123; 12219776; 12267998; 12289889; 12356627; 12363905; 12453088; 12484222; 12512366,G11C; H01L; H10B; H10D
Stephanie Saad,7552418; 7581206; 7631004; 7636912; 7814308,
Angela Galluzzo,4552538,
Qinbo Li,11778962,A01G
Te-Cheng Yang,8657125,A47G
Swati M. Suryavanshi,8361780,
Ibrahim Onat,9818405,G06F; G10L; H04M
Alfred B. Cummins,4245629,
Mustafa Parhiskari,4839833; D318761,
William C. Schrage,6575615,
Jean-Paul Ouvrel,5423376,
Michael A. Finn,6648587; 7787212,
Beverley I. Charles,7696421; 7799983; 7842872; 7842877; 8158869; 8163992; 8207435; 8207436,
Mykhaylo DEMYDCHUK,11097010; 11766482; 12187805,A61K; A61P; C07K; C12N; C40B; G01N
Shenwen Quan,12373947,G06T
Rejeesh KATATHANADAN,12321777,G06F; G06N
Diego Amerio,11374481; 11524882,B67B; H02K
John V. Hilliard,4932520,
Koichi Yabe,11517990; 12311485; 4036751; 7066032; 8726770,B05B; B23Q; Y10T
Hyeoncheol Jo,10587817; 10785387; 11297266; 11626447; 12230663; 12477241; 12482221,G06K; G06V; G09G; H01L; H04N
Qiang Peng,10437785; 10628072; 10908868; 11079954; 11099146; 11179867; 11269811; 11307025; 11402196; 11567725; 11613048; 12099736; 8324568; 8410415; 8436295; 8714022; D1067406; D1075580; D1075581; D1081582; D905689; D913829; D913830,B29B; B29C; B29K; B29L; B65G; E21C; E21F; F16L; G01B; G01N; G02B; G06F
Gyoosang Choi,12345374; D1015336; D1022964; D1024065; D1024066; D1034533; D1047990; D864160; D868740; D906301; D958124; D977444; D984973; D986195,F16M
Rocco Bellantoni,D700921,
Darrell P. Comeaux,5842410,
Alicia Korn,9274691; 9535945; 9830388; D773498,G06F; H04L
Sagi Meller,10942738; 10990397; 11714875; 11809549; 12099597; 12204605; 12353878,G06F
Carlson A. Waite,4422655; 4688810; 6454278,
Myoung-Han Kim,10214623; 11817746,C08J; H02K
Tongsheng Yu,12492635,E21D
Toru Yasunaga,12016085; 4154818; 5760091,B60H; B60S; H05B
Jang-Hwan Park,3979588; D444135,
Jacques Lanneau,4257710; 4288263; 4334786; 4345887; 4364790; 4383960,
Werner Gergen,11307022,F01D; F05D; G01B
Audrey A. McManus,6576097,
Yumin LIAO,12111354; 12333058; 12474723,B01F; C02F; G01R; G01S; G05D; G06F
Francois Lepoutre,7271900,
Yongwei Xu,12345694,A23N; G01N
Francis Ovaert,4228624; 4434592; 4551958; 5177922; 5329738,
Daisuke Tohyama,5324972; 5532181; 5596529; 5702966; 5844268,
Jaime Morral Gispert,5050250; 5547041; D531318,
Kohichi Iohara,4410473; 4454196; 4475330; 4609710; 4622381; 4851504,
Yikai Feng,12306340; 12505310,G01S; G06F
Jack A. Rogers,4039636; 5077049; 5324519; 5324520; 5368859; 5599552,
Paul Thomson Baker,11174177; 11981561; 12459817; 6502713; 7026939; 7030370,B01J; C01B; C02F
Remy Marcel Sydney Bourcier,11649833; 12110904,F04D
Hitoshi Horimuki,4282825,
Tatsuwo Hatanaka,9467001; 9975432,B60L; H02J; Y02T
Taisei Kinoshita,12018032; 6979549; 7141434; 7189523; 7208289; 7241581; 7374894; 7378251; 7422867; 7482351; 7563585; 7598050; 8334297; 8377945; 8575165,A61K; A61P; C07B; C07D
Dexiu Huang,7821712,
Stakshi Jindal Garg,10325175; 10536164; 10853686; 9449248,G06K; G06T; H03M; H04N
Scott T. Ginkel,4857372; 5844523; 6869654,
Jin-Gil Yang,10096227; 10120428; 10229681; 10380716; 10534900; 10802708; 11157095; 11522870; 8787916; 9471107; 9477850; 9773101; 9851865; 9946861,A61B; G01J; G01W; G06F; G06K; G06T; G08B; G10L; G11B; G16H; H04L; H04M; H04N; H04R; H04W; Y02D
Noam Lieberman,7581038,
Donald A. Mauch,5730344,
Congshan Zhu,12221501,C08F; C08G
Norman E. Beaver,D411943,
Arden B. Wright,4106070; 4736404,
Masaaki Iseki,8225623,
Robert T. Lyons,11078262; 4567045; 5073383; 5616342; 5635536; 5677341; 6054421; 6281175; 6391832; 6872705; 6933289; 6969706; 7390318; 7479134; 8039010; 8231892; 8318169; 8343949; 8506962; 8512717; 8569272; 8586556; 8642067; 8691802; 8834884; 8846094; 8956655; 8992952; 9039761; 9089478; 9265775,A61F; A61K; C07K; C12N
William E. Kuhn,3960151; 4522190,
Rajendra Prasad DJ,10280931,F04D
Fady Kalo,10691751; 11423086; 11704366,G06F; H04L
Sho C. Takatori,10584688,F03G
Dheeraj Baby,10621297,G06F
Giorgio CASTAGNETO GISSEY,11179257,A61F; A61M
Ricky Claude Barker,10577764,E01F; G09F
Shiho Hakomori,10219685; 9247882; 9277865; 9480405; 9931519,A61B; A61C; A61N; G01N
Gerhard Weippert,4271869,
Leslie Ernest Ainsworth,4494251,
Gina M. Lanese,12417661,G06F; G07C
David Shin-Ren Liu,10259936; 10633468; 11001664; 11248071; 11560473; 11938673; 12151434; 12199501; 12215220; 12359052; 7405571; 7710077; 8616779; 9375976; 9879711; D605589; D747254,B29C; B29K; B32B; B33Y; B60B; C08F; C08K; C08L; D01D; D01F; F16B; H02M
Daniel Pascual,10976491; 11651942; 8697542; 8969200,G02B; H01J; H01L; H01S
Masao Konomi,4516428; 4588867; 5282253; 5448637; 5606607; 5664014; 5751822; 5844984; 6272360; D396715; D463399,
Aliakbar Mirzaei,12382495,H04W
Cheongsoo PARK,10989924; 11960084,G02B
Tang Tai Ning,D408224; D411481; D416446; D418372; D423399,
Hung-Chu Huang,D509482,
Roger J. Foster,3933147,
Jacob P. Perry,11730304,A47J; G06F
Danny Lam,6745286; 6754773,
Martin Lankes,6920383; 7246675; 7451845,
James M. Sprayberry,4879835; 5553373,
Derek J. Petley,D262085,
Kanta Prasad Naithani,5387351; 6172012; 6265359; 7767634,
Petr Svec,10019006; 10126747,B63B; B63H; B65G; G01C; G05B; G05D; G06F; G06G; G08G
Paul C. Stromberg,4535671; 5532159; 5650300; 5656444; 5688505,
Elizabeth Oriel Bradley,10349799; 11987934; 12134863; 12264439; 12281446; 8030226; 8367568; 8398041; 8834678; 9365982; 9447546; 9896804; D630939; D871082,A45D; A47K; A47L; A61K; A61Q; B08B; B31D; B31F; B32B; D21H
Thomas P. Szumla,5965859; 6275256; 6509978; 6607257; 6712451; 6758140; 6783228; 6866367; 6961141; 7050197,
Kazuyuki Kadowaki,11204133; 11292336; 11394041; 11566754; 11660982; 11670784; 11746958; 9296311,B60K; B60L; B60Y; F17C; F17D; G01K; G01L; G05D; H01M; Y02E; Y02T
